Survey_ID,POINT_X,POINT_Y,Wetland,Date,Description
1,1667531.893,509762.6708,,3/13/18,Test Point
2,1665130.578,509389.6891,DB,3/13/18,Upland Well
3,1665127.702,509386.423,DB,3/13/18,SC-E
4,1665124.049,509376.4105,DB,3/13/18,SC-D
5,1665124.461,509362.0506,DB,3/13/18,SC-C
6,1665118.582,509359.8554,DB,3/13/18,SC-B
7,1665115.229,509356.9355,DB,3/13/18,SC-A
8,1665154.037,509405.4242,DB,3/13/18,AIK-E
9,1665147.237,509401.6651,DB,3/13/18,AIK-D
10,1665135.709,509378.6774,DB,3/13/18,AIK-C
11,1665126.806,509364.0946,DB,3/13/18,AIK-B
12,1665115.236,509354.4683,DB,3/13/18,AIK-A
13,1665104.888,509324.2656,DB,3/13/18,Wetland Well
14,1665140.541,509355.3265,DB,3/13/18,Inundation Outline
15,1665137.364,509360.6922,DB,3/13/18,Inundation Outline
16,1665128.338,509369.8772,DB,3/13/18,Inundation Outline
17,1665120.254,509373.3606,DB,3/13/18,Inundation Outline
18,1665107.34,509375.4467,DB,3/13/18,Inundation Outline
19,1665099.898,509370.3837,DB,3/13/18,Inundation Outline
20,1665091.243,509364.1937,DB,3/13/18,Inundation Outline
21,1665078.75,509352.4005,DB,3/13/18,Inundation Outline
22,1665073.869,509352.6387,DB,3/13/18,Inundation Outline
23,1665065.307,509338.0028,DB,3/13/18,Inundation Outline
24,1665078.396,509322.5479,DB,3/13/18,Inundation Outline
25,1665066.393,509310.2873,DB,3/13/18,Inundation Outline
26,1665065.994,509302.4549,DB,3/13/18,Inundation Outline
27,1665073.91,509290.6719,DB,3/13/18,Inundation Outline
28,1665083.765,509282.5631,DB,3/13/18,Inundation Outline
29,1665062.801,509335.8302,DB,3/13/18,Wetland Outlet
30,1665086.094,509275.4324,DB,3/13/18,Inundation Outline
31,1665101.697,509274.7044,DB,3/13/18,Inundation Outline
32,1665118.848,509277.7112,DB,3/13/18,Inundation Outline
33,1665125.717,509278.7594,DB,3/13/18,Inundation Outline
34,1665132.36,509286.5254,DB,3/13/18,Inundation Outline
35,1665143.232,509299.1343,DB,3/13/18,Inundation Outline
36,1665144.954,509310.5405,DB,3/13/18,Inundation Outline
37,1665146.259,509322.8967,DB,3/13/18,Inundation Outline
38,1665144.956,509342.0663,DB,3/13/18,Inundation Outline
39,1665143.781,509343.4243,DB,3/13/18,Inundation Outline
40,1665478.919,509428.1575,TA,3/13/18,Well Center
41,1665559.36,509451.6563,TA,3/13/18,Inundation Outline
42,1665461.462,509474.6496,TA,3/13/18,Inundation Outline
43,1665406.704,509415.2226,TA,3/13/18,Inundation Outline
44,1665506.16,509369.1956,TA,3/13/18,Inundation Outline
45,1665503.395,509195.5898,TB,3/13/18,Upland Well
46,1665488.334,509190.8636,TB,3/13/18,AIK-E
47,1665506.843,509190.5342,TB,3/13/18,AIK-D
48,1665523.658,509189.0522,TB,3/13/18,AIK-C
49,1665541.607,509191.6584,TB,3/13/18,AIK-B
50,1665559.476,509186.211,TB,3/13/18,AIK-A
51,1665554.584,509189.1541,TB,3/13/18,SC-A
52,1665546.695,509191.567,TB,3/13/18,SC-B
53,1665539.439,509192.5078,TB,3/13/18,SC-C
54,1665532.643,509196.0948,TB,3/13/18,SC-D
55,1665523.121,509199.8464,TB,3/13/18,SC-E
56,1665532.348,509191.0688,TB,3/13/18,Inundation Outline
57,1665535.444,509178.485,TB,3/13/18,Inundation Outline
58,1665527.432,509172.0922,TB,3/13/18,Inundation Outline
59,1665536.29,509147.4203,TB,3/13/18,Inundation Outline
60,1665547.74,509123.7957,TB,3/13/18,Inundation Outline
61,1665560.66,509111.2475,TB,3/13/18,Inundation Outline
62,1665579.857,509106.7993,TB,3/13/18,Inundation Outline
63,1665591.768,509103.2603,TB,3/13/18,Wetland Outlet
64,1665617.161,509096.2664,TB,3/13/18,Inundation Outline
65,1665631.241,509096.796,TB,3/13/18,Inundation Outline
66,1665632.764,509089.9456,TB,3/13/18,Inundation Outline
67,1665601.296,509016.7264,TB,3/13/18,Upland Well
68,1665663.597,509100.5406,TB,3/13/18,Inundation Outline
69,1665677.293,509104.2765,TB,3/13/18,Inundation Outline
70,1665687.515,509118.4459,TB,3/13/18,Inundation Outline
71,1665698.32,509123.4374,TB,3/13/18,Inundation Outline
72,1665708.4,509147.8069,TB,3/13/18,Inundation Outline
73,1665716.983,509163.5364,TB,3/13/18,Inundation Outline
74,1665729.463,509170.2151,TB,3/13/18,Inundation Outline
75,1665730.434,509193.5827,TB,3/13/18,Inundation Outline
76,1665717.931,509198.4134,TB,3/13/18,Wetland Outlet
77,1665729.912,509237.9855,TB,3/13/18,Upland Well
78,1665705.283,509208.2752,TB,3/13/18,Inundation Outline
79,1665683.81,509232.0313,TB,3/13/18,Inundation Outline
80,1665660.943,509224.6824,TB,3/13/18,Inundation Outline
81,1665642.241,509228.9978,TB,3/13/18,Inundation Outline
82,1665623.78,509224.0887,TB,3/13/18,Inundation Outline
83,1665603.042,509239.6325,TB,3/13/18,Inundation Outline
84,1665588.122,509217.4684,TB,3/13/18,Inundation Outline
85,1665565.744,509223.8067,TB,3/13/18,Inundation Outline
86,1665551.241,509202.3015,TB,3/13/18,Inundation Outline
87,1665539.289,509199.0416,TB,3/13/18,Inundation Outline
88,1665658.466,509160.0737,TB,3/13/18,Wetland Well
89,1665928.158,509347.9936,,3/13/18,Ditch T
90,1666053.355,509215.2101,,3/13/18,Catchment Outlet Well
91,1666139.201,509118.1747,,3/13/18,Tiger Paw - Flux Natural Merge
92,1666358.348,508989.1358,FN,3/13/18,Wetland Well
93,1666409.141,508937.8139,FN,3/13/18,Rain Gage
94,1666405.28,508930.6169,FN,3/13/18,Flux Tower
95,1666600.634,509194.3926,,3/13/18,TNC Deep Well
96,1667006.709,509430.4897,,3/13/18,TNC Deep Well 
97,1667284.314,509570.6635,,3/13/18,TNC Deep Well
98,1668158.33,507408.7865,,3/13/18,Baby Head
99,1668187.549,507701.3648,ND,3/13/18,AIK-E
100,1668193.652,507719.35,ND,3/13/18,AIK-D
101,1668205.02,507730.8021,ND,3/13/18,AIK-C
102,1668204.963,507728.9771,ND,3/13/18,Upland Well
103,1668214.08,507743.7997,ND,3/13/18,AIK-B
104,1668223.178,507758.0855,ND,3/13/18,AIK-A
105,1668199.992,507732.6434,ND,3/13/18,SC-E
106,1668203.373,507740.1948,ND,3/13/18,SC-D
107,1668210.477,507745.5181,ND,3/13/18,SC-C
108,1668216.647,507753.469,ND,3/13/18,SC-B
109,1668218.388,507762.4454,ND,3/13/18,SC-A
110,1668243.459,507798.2168,ND,3/13/18,Wetland Well
111,1668317.157,507837.4224,ND,3/13/18,Wetland Outlet
112,1668309.012,507866.5399,ND,3/13/18,Upland Well
113,1668286.026,507863.1183,ND,3/13/18,Inundation Outline
114,1668270.72,507872.7903,ND,3/13/18,Inundation Outline
115,1668267.774,507884.923,ND,3/13/18,Inundation Outline
116,1668254.738,507891.9769,ND,3/13/18,Inundation Outline
117,1668238.242,507892.418,ND,3/13/18,Inundation Outline
118,1668221.641,507892.17,ND,3/13/18,Inundation Outline
119,1668209.348,507883.8111,ND,3/13/18,Inundation Outline
120,1668205.488,507873.103,ND,3/13/18,Inundation Outline
121,1668194.422,507871.0455,ND,3/13/18,Inundation Outline
122,1668190.735,507855.1959,ND,3/13/18,Inundation Outline
123,1668184.267,507834.3106,ND,3/13/18,Inundation Outline
124,1668178.17,507814.7234,ND,3/13/18,Inundation Outline
125,1668189.713,507776.4757,ND,3/13/18,Inundation Outline
126,1668193.206,507767.2333,ND,3/13/18,Inundation Outline
127,1668198.488,507757.0128,ND,3/13/18,Inundation Outline
128,1668208.389,507742.2179,ND,3/13/18,Inundation Outline
129,1668224.86,507730.3922,ND,3/13/18,Inundation Outline
130,1668242.607,507731.8974,ND,3/13/18,Inundation Outline
131,1668250.734,507733.2086,ND,3/13/18,Inundation Outline
132,1668264.7,507736.8928,ND,3/13/18,Inundation Outline
133,1668279.196,507740.5933,ND,3/13/18,Inundation Outline
134,1668293.72,507760.9371,ND,3/13/18,Inundation Outline
135,1668306.204,507776.3448,ND,3/13/18,Inundation Outline
136,1668314.33,507787.7669,ND,3/13/18,Inundation Outline
