Survey_ID,POINT_X,POINT_Y,Wetland,Date,Description
14,1665140.541,509355.3265,DB,3/13/18,Inundation Outline
15,1665137.364,509360.6922,DB,3/13/18,Inundation Outline
16,1665128.338,509369.8772,DB,3/13/18,Inundation Outline
17,1665120.254,509373.3606,DB,3/13/18,Inundation Outline
18,1665107.34,509375.4467,DB,3/13/18,Inundation Outline
19,1665099.898,509370.3837,DB,3/13/18,Inundation Outline
20,1665091.243,509364.1937,DB,3/13/18,Inundation Outline
21,1665078.75,509352.4005,DB,3/13/18,Inundation Outline
22,1665073.869,509352.6387,DB,3/13/18,Inundation Outline
23,1665065.307,509338.0028,DB,3/13/18,Inundation Outline
24,1665078.396,509322.5479,DB,3/13/18,Inundation Outline
25,1665066.393,509310.2873,DB,3/13/18,Inundation Outline
26,1665065.994,509302.4549,DB,3/13/18,Inundation Outline
27,1665073.91,509290.6719,DB,3/13/18,Inundation Outline
28,1665083.765,509282.5631,DB,3/13/18,Inundation Outline
30,1665086.094,509275.4324,DB,3/13/18,Inundation Outline
31,1665101.697,509274.7044,DB,3/13/18,Inundation Outline
32,1665118.848,509277.7112,DB,3/13/18,Inundation Outline
33,1665125.717,509278.7594,DB,3/13/18,Inundation Outline
34,1665132.36,509286.5254,DB,3/13/18,Inundation Outline
35,1665143.232,509299.1343,DB,3/13/18,Inundation Outline
36,1665144.954,509310.5405,DB,3/13/18,Inundation Outline
37,1665146.259,509322.8967,DB,3/13/18,Inundation Outline
38,1665144.956,509342.0663,DB,3/13/18,Inundation Outline
39,1665143.781,509343.4243,DB,3/13/18,Inundation Outline
41,1665559.36,509451.6563,TA,3/13/18,Inundation Outline
42,1665461.462,509474.6496,TA,3/13/18,Inundation Outline
43,1665406.704,509415.2226,TA,3/13/18,Inundation Outline
44,1665506.16,509369.1956,TA,3/13/18,Inundation Outline
56,1665532.348,509191.0688,TB,3/13/18,Inundation Outline
57,1665535.444,509178.485,TB,3/13/18,Inundation Outline
58,1665527.432,509172.0922,TB,3/13/18,Inundation Outline
59,1665536.29,509147.4203,TB,3/13/18,Inundation Outline
60,1665547.74,509123.7957,TB,3/13/18,Inundation Outline
61,1665560.66,509111.2475,TB,3/13/18,Inundation Outline
62,1665579.857,509106.7993,TB,3/13/18,Inundation Outline
64,1665617.161,509096.2664,TB,3/13/18,Inundation Outline
65,1665631.241,509096.796,TB,3/13/18,Inundation Outline
66,1665632.764,509089.9456,TB,3/13/18,Inundation Outline
68,1665663.597,509100.5406,TB,3/13/18,Inundation Outline
69,1665677.293,509104.2765,TB,3/13/18,Inundation Outline
70,1665687.515,509118.4459,TB,3/13/18,Inundation Outline
71,1665698.32,509123.4374,TB,3/13/18,Inundation Outline
72,1665708.4,509147.8069,TB,3/13/18,Inundation Outline
73,1665716.983,509163.5364,TB,3/13/18,Inundation Outline
74,1665729.463,509170.2151,TB,3/13/18,Inundation Outline
75,1665730.434,509193.5827,TB,3/13/18,Inundation Outline
78,1665705.283,509208.2752,TB,3/13/18,Inundation Outline
79,1665683.81,509232.0313,TB,3/13/18,Inundation Outline
80,1665660.943,509224.6824,TB,3/13/18,Inundation Outline
81,1665642.241,509228.9978,TB,3/13/18,Inundation Outline
82,1665623.78,509224.0887,TB,3/13/18,Inundation Outline
83,1665603.042,509239.6325,TB,3/13/18,Inundation Outline
84,1665588.122,509217.4684,TB,3/13/18,Inundation Outline
85,1665565.744,509223.8067,TB,3/13/18,Inundation Outline
86,1665551.241,509202.3015,TB,3/13/18,Inundation Outline
87,1665539.289,509199.0416,TB,3/13/18,Inundation Outline
113,1668286.026,507863.1183,ND,3/13/18,Inundation Outline
114,1668270.72,507872.7903,ND,3/13/18,Inundation Outline
115,1668267.774,507884.923,ND,3/13/18,Inundation Outline
116,1668254.738,507891.9769,ND,3/13/18,Inundation Outline
117,1668238.242,507892.418,ND,3/13/18,Inundation Outline
118,1668221.641,507892.17,ND,3/13/18,Inundation Outline
119,1668209.348,507883.8111,ND,3/13/18,Inundation Outline
120,1668205.488,507873.103,ND,3/13/18,Inundation Outline
121,1668194.422,507871.0455,ND,3/13/18,Inundation Outline
122,1668190.735,507855.1959,ND,3/13/18,Inundation Outline
123,1668184.267,507834.3106,ND,3/13/18,Inundation Outline
124,1668178.17,507814.7234,ND,3/13/18,Inundation Outline
125,1668189.713,507776.4757,ND,3/13/18,Inundation Outline
126,1668193.206,507767.2333,ND,3/13/18,Inundation Outline
127,1668198.488,507757.0128,ND,3/13/18,Inundation Outline
128,1668208.389,507742.2179,ND,3/13/18,Inundation Outline
129,1668224.86,507730.3922,ND,3/13/18,Inundation Outline
130,1668242.607,507731.8974,ND,3/13/18,Inundation Outline
131,1668250.734,507733.2086,ND,3/13/18,Inundation Outline
132,1668264.7,507736.8928,ND,3/13/18,Inundation Outline
