POINT_X,POINT_Y,samplingfeaturecode,samplingfeaturedescription
1665130.578,509389.6891,DB Upland Well,Survey point 2 measured on 3/13/18 as DB Upland Well
1665127.702,509386.423,DB SC-E,Survey point 3 measured on 3/13/18 as DB SC-E
1665124.049,509376.4105,DB SC-D,Survey point 4 measured on 3/13/18 as DB SC-D
1665124.461,509362.0506,DB SC-C,Survey point 5 measured on 3/13/18 as DB SC-C
1665118.582,509359.8554,DB SC-B,Survey point 6 measured on 3/13/18 as DB SC-B
1665115.229,509356.9355,DB SC-A,Survey point 7 measured on 3/13/18 as DB SC-A
1665154.037,509405.4242,DB AIK-E,Survey point 8 measured on 3/13/18 as DB AIK-E
1665147.237,509401.6651,DB AIK-D,Survey point 9 measured on 3/13/18 as DB AIK-D
1665135.709,509378.6774,DB AIK-C,Survey point 10 measured on 3/13/18 as DB AIK-C
1665126.806,509364.0946,DB AIK-B,Survey point 11 measured on 3/13/18 as DB AIK-B
1665115.236,509354.4683,DB AIK-A,Survey point 12 measured on 3/13/18 as DB AIK-A
1665104.888,509324.2656,DB Wetland Well,Survey point 13 measured on 3/13/18 as DB Wetland Well
1665062.801,509335.8302,DB Wetland Outlet,Survey point 29 measured on 3/13/18 as DB Wetland Outlet
1665478.919,509428.1575,TA Well Center,Survey point 40 measured on 3/13/18 as TA Well Center
1665503.395,509195.5898,TB Upland Well 1,Survey point 45 measured on 3/13/18 as TB Upland Well
1665488.334,509190.8636,TB AIK-E,Survey point 46 measured on 3/13/18 as TB AIK-E
1665506.843,509190.5342,TB AIK-D,Survey point 47 measured on 3/13/18 as TB AIK-D
1665523.658,509189.0522,TB AIK-C,Survey point 48 measured on 3/13/18 as TB AIK-C
1665541.607,509191.6584,TB AIK-B,Survey point 49 measured on 3/13/18 as TB AIK-B
1665559.476,509186.211,TB AIK-A,Survey point 50 measured on 3/13/18 as TB AIK-A
1665554.584,509189.1541,TB SC-A,Survey point 51 measured on 3/13/18 as TB SC-A
1665546.695,509191.567,TB SC-B,Survey point 52 measured on 3/13/18 as TB SC-B
1665539.439,509192.5078,TB SC-C,Survey point 53 measured on 3/13/18 as TB SC-C
1665532.643,509196.0948,TB SC-D,Survey point 54 measured on 3/13/18 as TB SC-D
1665523.121,509199.8464,TB SC-E,Survey point 55 measured on 3/13/18 as TB SC-E
1665591.768,509103.2603,TB Wetland Outlet 1,Survey point 63 measured on 3/13/18 as TB Wetland Outlet
1665601.296,509016.7264,TB Upland Well 2,Survey point 67 measured on 3/13/18 as TB Upland Well
1665717.931,509198.4134,TB Wetland Outlet 2,Survey point 76 measured on 3/13/18 as TB Wetland Outlet
1665729.912,509237.9855,TB Upland Well 3,Survey point 77 measured on 3/13/18 as TB Upland Well
1665658.466,509160.0737,TB Wetland Well,Survey point 88 measured on 3/13/18 as TB Wetland Well
1665928.158,509347.9936,NA Ditch T,Survey point 89 measured on 3/13/18 as NA Ditch T
1666053.355,509215.2101,NA Catchment Outlet Well 1,Survey point 90 measured on 3/13/18 as NA Catchment Outlet Well
1666139.201,509118.1747,NA Tiger Paw - Flux Natural Merge,Survey point 91 measured on 3/13/18 as NA Tiger Paw - Flux Natural Merge
1666358.348,508989.1358,FN Wetland Well,Survey point 92 measured on 3/13/18 as FN Wetland Well
1666409.141,508937.8139,FN Rain Gage,Survey point 93 measured on 3/13/18 as FN Rain Gage
1666405.28,508930.6169,FN Flux Tower,Survey point 94 measured on 3/13/18 as FN Flux Tower
1666600.634,509194.3926,NA TNC Deep Well 1,Survey point 95 measured on 3/13/18 as NA TNC Deep Well
